% Changes to WEKA Format: SRG - November 1994,,,,,,,,,,,,,,,,,
%,1. Boolean attributes changed from 1 and 0 to Enumerated attribute with,,,,,,,,,,,,,,,,
%          values {true and false},,,,,,,,,,,,,,,,,
%       2. Class Number (Attribute 18) changed to an Enumerated type with,,,,,,,,,,,,,,,,,
%,"   values {1,2,3,4,5,6,7} ",,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,
% December 1997 - Changed class attribute values to semi-sensible names,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,
% 1. Title: Zoo database,,,,,,,,,,,,,,,,,
% ,,,,,,,,,,,,,,,,,
% 2. Source Information,,,,,,,,,,,,,,,,,
%    -- Creator: Richard Forsyth,,,,,,,,,,,,,,,,,
%    -- Donor: Richard S. Forsyth ,,,,,,,,,,,,,,,,,
%              8 Grosvenor Avenue,,,,,,,,,,,,,,,,,
%              Mapperley Park,,,,,,,,,,,,,,,,,
%              Nottingham NG3 5DX,,,,,,,,,,,,,,,,,
%              0602-621676,,,,,,,,,,,,,,,,,
%    -- Date: 5/15/1990,,,,,,,,,,,,,,,,,
%  ,,,,,,,,,,,,,,,,,
% 3. Past Usage:,,,,,,,,,,,,,,,,,
%    -- None known other than what is shown in Forsyth's PC/BEAGLE User's Guide.,,,,,,,,,,,,,,,,,
% ,,,,,,,,,,,,,,,,,
% 4. Relevant Information:,,,,,,,,,,,,,,,,,
"%    -- A simple database containing 17 Boolean-valued attributes.  The ""type""",,,,,,,,,,,,,,,,,
%       attribute appears to be the class attribute.  Here is a breakdown of,,,,,,,,,,,,,,,,,
%       which animals are in which type: (I find it unusual that there are,,,,,,,,,,,,,,,,,
"%       2 instances of ""frog"" and one of ""girl""!)",,,,,,,,,,,,,,,,,
% ,,,,,,,,,,,,,,,,,
%       Class# Set of animals:,,,,,,,,,,,,,,,,,
%       ====== ===============================================================,,,,,,,,,,,,,,,,,
"MAMMAL       1 (41) aardvark, antelope, bear, boar, buffalo, calf,",,,,,,,,,,,,,,,,,
"%                   cavy, cheetah, deer, dolphin, elephant,",,,,,,,,,,,,,,,,,
"%                   fruitbat, giraffe, girl, goat, gorilla, hamster,",,,,,,,,,,,,,,,,,
"%                   hare, leopard, lion, lynx, mink, mole, mongoose,",,,,,,,,,,,,,,,,,
"%                   opossum, oryx, platypus, polecat, pony,",,,,,,,,,,,,,,,,,
"%                   porpoise, puma, pussycat, raccoon, reindeer,",,,,,,,,,,,,,,,,,
"%                   seal, sealion, squirrel, vampire, vole, wallaby,wolf",,,,,,,,,,,,,,,,,
"BIRD             2 (20) chicken, crow, dove, duck, flamingo, gull, hawk,",,,,,,,,,,,,,,,,,
"%                   kiwi, lark, ostrich, parakeet, penguin, pheasant,",,,,,,,,,,,,,,,,,
"%                   rhea, skimmer, skua, sparrow, swan, vulture, wren",,,,,,,,,,,,,,,,,
"REPTILE         3 (5)  pitviper, seasnake, slowworm, tortoise, tuatara ",,,,,,,,,,,,,,,,,
"FISH              4 (13) bass, carp, catfish, chub, dogfish, haddock,",,,,,,,,,,,,,,,,,
"%                   herring, pike, piranha, seahorse, sole, stingray, tuna",,,,,,,,,,,,,,,,,
"AMPHIBIAN   5 (4)  frog, frog, newt, toad ",,,,,,,,,,,,,,,,,
"INSECT            6 (8)  flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp",,,,,,,,,,,,,,,,,
"INVERTEBRATE       7 (10) clam, crab, crayfish, lobster, octopus,",,,,,,,,,,,,,,,,,
"%                   scorpion, seawasp, slug, starfish, worm",,,,,,,,,,,,,,,,,
% ,,,,,,,,,,,,,,,,,
1. animal name:,2. hair,3. feathers,4. eggs,5. milk,6. airborne,7. aquatic,8. predator,9. toothed,10. backbone,11. breathes,12. venomous,13. fins,14. legs,15. tail,16. domestic,17. catsize,18. type
aardvark,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4,FALSE,FALSE,TRUE,mammal
antelope,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,FALSE,TRUE,mammal
bass,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,fish
bear,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4,FALSE,FALSE,TRUE,mammal
boar,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,FALSE,TRUE,mammal
buffalo,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,FALSE,TRUE,mammal
